Player,G,MP,FG%,3P%,FT,FT%,TRB,AST,STL,BLK,PTS
Nikola Jokić,16,37.6,.564,.522,5.3,.816,13.0,10.4,1.7,0.9,30.1
Shai Gilgeous-Alexander,21,34.3,.507,.344,6.8,.856,5.5,6.5,1.8,1.0,29.8
Giannis Antetokounmpo,18,34.8,.617,.214,6.5,.616,11.7,6.7,0.5,1.4,32.7
Jayson Tatum,21,36.4,.454,.374,6.2,.802,8.6,5.6,1.3,0.6,28.4
Karl-Anthony Towns,20,33.5,.528,.452,4.8,.864,13.1,3.1,0.8,0.9,25.1
Luka Dončić,16,36.9,.452,.342,5.3,.750,7.9,7.8,1.8,0.4,29.1
Anthony Davis,20,35.4,.542,.357,7.2,.786,11.5,3.3,1.3,2.0,27.8
Jarrett Allen,22,29.5,.704,.000,2.6,.731,10.3,1.6,1.0,1.0,14.0
Jalen Williams,21,31.8,.513,.385,2.7,.800,6.0,5.2,2.1,0.9,21.8
Darius Garland,21,30.0,.494,.450,2.8,.951,2.4,6.7,1.1,0.2,20.3
